comments,candidate_wikipedia,party_youtube,התנועה לאיכות השלטון,party_facebook,party_manifest_url,party_website,party_image_url,mk_id,ordinal,candidate_name,ballot,party
"לא מצאתי תמונה של היו""ר + בעמוד המצע באתר שלהם אין כלום",,http://www.youtube.com/user/kolanochaverim,,http://www.facebook.com/eretz2013,http://www.nanach.co.il/?page_id=18,http://www.nanach.co.il,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-ash3/559047_459270254108436_1870515845_n.jpg,,1,קנאפו שרון,פץ,כולנו חברים - ננח
,,,,,,,,,2,שי ליאור צפריר,,כולנו חברים - ננח
,,,,,,,,,3,אופיר ערן,,כולנו חברים - ננח
,,,,,,,,,4,בן שלום שחר ישראל,,כולנו חברים - ננח
,,,,,,,,,5,ינאי משה,,כולנו חברים - ננח
,,,,,,,,,6,אברהם תומר,,כולנו חברים - ננח
,,,,,,,,,7,שואשו נס חי,,כולנו חברים - ננח
,,,,,,,,,8,אופיר משה,,כולנו חברים - ננח
,,,,,,,,,9,ג`מילי ננח שגיא יוסף,,כולנו חברים - ננח
,,,,,,,,,10,אריאל אהוד,,כולנו חברים - ננח
,,,,,,,,,11,דגני ברק עמוס,,כולנו חברים - ננח
,,,,,,,,,12,דלויה דניאל,,כולנו חברים - ננח
"לא בטוחה שהלינק ששמתי בעמודת המצע אכן מכיל את המצע, רוב האתר בערבית",http://he.wikipedia.org/wiki/%D7%92'%D7%9E%D7%90%D7%9C_%D7%96%D7%97%D7%90%D7%9C%D7%A7%D7%94,http://www.youtube.com/watch?v=OzmLq9x39nE,,http://www.facebook.com/balad2013,http://www.tajamoa.org/?mod=arch&ID=22,http://www.tajamoa.org/,http://www.knesset.gov.il/mk/images/members/zahalka_jamal-s.jpg,756,1,ג`מאל זחאלקה,ד,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,http://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%99%D7%9F_%D7%96%D7%95%D7%A2%D7%91%D7%99,,,,,,,846,2,זועבי חנין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,3,ג`טאס באסל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,4,אזברגה ג`ומעה,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,5,פוקרא עבדאל רחים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,6,יזבק היבא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,7,מהנא סאמי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,8,דקב פתחי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,9,פרח מרים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,10,שלחת אנטאין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,11,קיס מחאסן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,12,לירר יעל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,13,נחאדה מטאנס,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,14,מנסור נורא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,15,ח`מיס ווליד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,16,טאהא לולו,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,17,עבאס טאהר,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,18,חלבי חאתם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,19,אבו שחאדה סאמי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,20,צמל-ורשבסקי לאה,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,21,אבו רחמין ניבין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,22,עאמר אחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,23,ח`לאילה איאד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,24,מרעי אמין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,25,אילני יהודית,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,26,אבו בצר אברהים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,27,אבו אחמד ח`לוד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,28,חאג` ווליאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,29,חוש דועא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,30,חאג` יחיא מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,31,חיידר ראמי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,32,ג`ורבאן סאמי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,33,עבאס וסים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,34,טנוס נח`לה,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,35,ח`לף ג`מיל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,36,קובטי מירי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,37,ערבוש מועין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,38,הנדאוי רבים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,39,עודה-חאג` אינאס,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,40,עתאמנה מופיצ,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,41,ג`מטוס וופא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,42,סאדר מייסלון,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,43,טאהה נביט,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,44,חמדאן אלהאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,45,שעבאן פרידה,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,46,אלעתאייקה עבדאל כרים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,47,עיאשה מועתכם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,48,אבו הלאל מוסטפא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,49,מסרי אחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,50,דיאב מוסא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,51,ג`נטוס כרים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,52,חורני חנא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,53,אבו אלעסל ג`האד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,54,אבו סייף ח`ליל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,55,שקור אילייא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,56,דקוור נסרי,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,57,נח`אש יוסף,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,58,טאהא דימא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,59,נעאמנה מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,60,מחאג`נר מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,61,סאדר כמיל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,62,ח`טיב חנאן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,63,בולוס ג`רים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,64,סולטאני חוסני,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,65,ח`טיב קאסם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,66,עטייה כאיד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,67,סובח מייסאן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,68,סעיד יוסף,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,69,שקור בסאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,70,סבסג ג`רים,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,71,מטר עדנאן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,72,ג`אליב כאמל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,73,אג`בריה ריאד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,74,דכוור ג`ואד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,75,חמאד באסם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,76,אגברייה חנין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,77,ראבי איאד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,78,ח`טיב מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,79,אלשאער האדיה,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,80,עבד אלחלים חסן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,81,חדאד מוראד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,82,טאטור מחמוד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,83,מזלבט עמאד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,84,ליום אנטון,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,85,אבו זקיקה מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,86,אגברביה ספאא,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,87,מראענה מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,88,עלי סאלח ויסאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,89,פרח אכרם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,90,חוסין פתחיה,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,91,עראר ערב,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,92,סואעד מחמוד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,93,ענבתאוו אמאני,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,94,בלעום ויאאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,95,ונתד נידאל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,96,ח`ליליה מאהר,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,97,ג`סאר חסאן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,98,בדראן עז אלדין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,99,בנא עאוני,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,100,קורטאם אשרף,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,101,אגבריה ויסאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,102,חוסן יוסף,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,103,אברהים נביל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,104,מסארווה כסאם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,105,ג`טאס ראיד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,106,שחאדה אדמונד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,107,הווארי ערין,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,108,ורשבסקי מיכאל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,109,עבד אמיל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,110,מחטמיד ריאד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,111,סולטאני פואד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,112,אבו פול מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,113,זריק סולימאן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,114,מנסור ג`וני,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,115,אגבריה אפנאן,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,116,יונס מוחמד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,117,עאטללה אליאס,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,118,מוחארב מחמוד,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,119,מחאמיד האשם,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
,,,,,,,,,120,טאהא ואסל,,בל”ד - אלתג`מוע אלווטני אלדמוקרטי
לא נמצא אתר,,http://www.youtube.com/watch?v=x1nPGrb0BZE,,http://www.facebook.com/www.therav.co.il?ref=ts&fref=ts,,www.hamiflaga.org.il,http://sphotos-a.ak.fbcdn.net/hphotos-ak-snc6/224064_283190351783652_678376640_n.png,,1,סאמרלי אריה,פז,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,2,שיפר אליהו,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,3,בן משה משה,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,4,פרטקוב ליעד,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,5,לוי רונן,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,6,כהן עימנואל אמיר,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,7,צוברי יהונתן,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,8,כלפא יונה,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,9,בניזרי אליהו,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,10,פז אלון,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,11,סקריצקי מיכאל,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,12,שאולוב רונן,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,13,ולורד דרור ברוך,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,14,יצחק אליהו,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,15,יצחק שפריר,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,16,חורש יניב,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,17,והב מרדכי,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,,,,,,,,,18,לסרי אורן,,כח להשפיע בהנחייה / בהכוונת הרב אמנון יצחק
,http://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%99%D7%AA_%D7%A2%D7%95%D7%9C%D7%9D,,,http://www.facebook.com/groups/215931598532951/,http://www.britolam.org.il/187853/%D7%A2%D7%99%D7%A7%D7%A8%D7%99-%D7%94%D7%9E%D7%A6%D7%A2,http://www.britolam.org.il/,http://www.britolam.org.il/image/users/187853/ftp/my_files/%D7%A2%D7%95%D7%A4%D7%A8.gif?id=8533299,,1,ליפשיץ עופר פינחס,נ,ברית עולם לגאולת ישראל
,,,,,,,,,2,בלייש חיים,,ברית עולם לגאולת ישראל
,,,,,,,,,3,סבאג איילה,,ברית עולם לגאולת ישראל
,,,,,,,,,4,אביזהר משה מרדכי,,ברית עולם לגאולת ישראל
,,,,,,,,,5,דדון ניסים מקסים,,ברית עולם לגאולת ישראל
,,,,,,,,,6,צלמון מרים,,ברית עולם לגאולת ישראל
,,,,,,,,,7,שטראוס נתן,,ברית עולם לגאולת ישראל
,,,,,,,,,8,ביטון אבנר,,ברית עולם לגאולת ישראל
"המצע מופיע כפוסט מה- 6.12 בפייסבוק שלהם, קישרתי לכל העמוד כי אני לא בטוחה איך לקשר לפוסט",,,,http://www.facebook.com/pages/%D7%9E%D7%95%D7%A8%D7%A9%D7%AA-%D7%90%D7%91%D7%95%D7%AA-%D7%90%D7%99%D7%9C%D7%9F-%D7%9E%D7%A9%D7%99%D7%97%D7%90/553431928004275?ref=stream,http://www.facebook.com/pages/%D7%9E%D7%95%D7%A8%D7%A9%D7%AA-%D7%90%D7%91%D7%95%D7%AA-%D7%90%D7%99%D7%9C%D7%9F-%D7%9E%D7%A9%D7%99%D7%97%D7%90/553431928004275?ref=stream,http://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%A8%D7%A9%D7%AA_%D7%90%D7%91%D7%95%D7%AA,http://sphotos-a.ak.fbcdn.net/hphotos-ak-ash4/767_561266043887530_435713194_n.jpg,,1,יר-זנבר אילן משיחא,הי,מורשת אבות
,,,,,,,,,2,שפיצר אמיר,,מורשת אבות
,,,,,,,,,3,מוזס משה,,מורשת אבות
,,,,,,,,,4,סלע חי משה,,מורשת אבות
,,,,,,,,,5,עשור מכלוף מיכאל,,מורשת אבות
,,,,,,,,,6,בונפיס משה,,מורשת אבות
,,,,,,,,,7,לבנוני שלמה,,מורשת אבות
,,,,,,,,,8,רוטנברג טליה,,מורשת אבות
,,,,,,,,,9,יפרח אילן מיכאל,,מורשת אבות
,,,,,,,,,10,צרפתי שמעון,,מורשת אבות
,,,,,,,,,11,הרשיש סילביה,,מורשת אבות
,,,,,,,,,12,כהן יוסף חיים,,מורשת אבות
,,,,,,,,,13,ביטון אלישי,,מורשת אבות
,,,,,,,,,14,מורי יוסף עומרי,,מורשת אבות
,,,,,,,,,15,תני משה,,מורשת אבות
,,,,,,,,,16,בן עמי שמעון,,מורשת אבות
,,,,,,,,,17,פדידה ימין,,מורשת אבות
,,,,,,,,,18,קרני יאיר,,מורשת אבות
,,,,,,,,,19,מזרחי אליהו,,מורשת אבות
,,,,,,,,,20,אביסרור שי,,מורשת אבות
,,,,,,,,,21,צירניש אנטון משה,,מורשת אבות
,,,,,,,,,22,כהן רחמים,,מורשת אבות
,,,,,,,,,23,בן חמו יוגב,,מורשת אבות
,,,,,,,,,24,זלצר קהת,,מורשת אבות
,,,,,,,,,25,דבוש מור,,מורשת אבות
"התמונה מהאתר שלהם, לא יודעת אם יש זכויות יוצרים",http://he.wikipedia.org/wiki/%D7%90%D7%A4%D7%A8%D7%99%D7%9D_%D7%9C%D7%A4%D7%99%D7%93,,,http://www.facebook.com/nisfri?ref=ts&fref=ts,http://www.gimlaim.org.il/BRPortal/br/P103.jsp?cat=29224,http://www.gimlaim.org.il/BRPortal/br/P100.jsp,http://www.gimlaim.org.il/BRPortalStorage/b/78/46/86-zJ4aZEsRXO.jpg,,1,לפיד אפרים,זך,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,2,גיסין מידד,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,3,קליינר יורם,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,4,נקר דליה,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,5,גרנות הלל,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,6,אלדור גרא,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,7,פרידמן משה,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,8,נעים גראר ניסים,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,9,ספאדיה פרחה,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,10,יפעת יצחק,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,11,טרסר אהרון,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,12,מיתר צבי,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,13,זקס דניאל,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,14,כהן בנימין,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,15,פלד אבשלום,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,16,אור אדיבה,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,17,כהנא ויקטור,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,18,מוזר ראובן,,דור בוני הארץ בראשות אפרים לפיד
,,,,,,,,,19,רפוביץ אוליביה,,דור בוני הארץ בראשות אפרים לפיד
"יש להם אתר אבל הוא ריק כרגע, המצע פורסם בתמונות בפייסבוק שלהם",http://he.wikipedia.org/wiki/%D7%99%D7%95%D7%9C%D7%99%D7%94_%D7%A9%D7%9E%D7%90%D7%9C%D7%95%D7%91-%D7%91%D7%A8%D7%A7%D7%95%D7%91%D7%99%D7%A5%27,http://www.youtube.com/channel/UCfVX1oNuLiBabB9KcB0D5RA,,https://www.facebook.com/CalcalaIsrael,http://www.facebook.com/media/set/?set=a.234353946669627.43722.228132433958445&type=3,http://he.wikipedia.org/wiki/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94_(%D7%9E%D7%A4%D7%9C%D7%92%D7%94),http://www.knesset.gov.il/mk/images/members/Shamalov_Berkovich_Yulia-s.jpg,848,1,שמאלוב ברקוביץ יוליה,פי,מפלגת כלכלה
,,,,,,,,,2,גולדשטיין דניאל,,מפלגת כלכלה
,,,,,,,,,3,גולדשטיין בן ציון,,מפלגת כלכלה
,,,,,,,,,4,מנגל יפית,,מפלגת כלכלה
,,,,,,,,,5,אלוני אודי,,מפלגת כלכלה
,,,,,,,,,6,צעירי דרור,,מפלגת כלכלה
,,,,,,,,,7,דריימר יצחק,,מפלגת כלכלה
,,,,,,,,,8,דובלינסקי אדם,,מפלגת כלכלה
,,,,,,,,,9,קורזינר גרגורי,,מפלגת כלכלה
,,,,,,,,,10,נבות זהר,,מפלגת כלכלה
,,,,,,,,,11,דור דניאל,,מפלגת כלכלה
,,,,,,,,,12,בן ישי מרדכי,,מפלגת כלכלה
,,,,,,,,,13,מיכאל יאיר,,מפלגת כלכלה
,,,,,,,,,14,בן עזרי ניר,,מפלגת כלכלה
"התמונה של היו""ר מויקיפדיה, לא יודעת אם יש זכויות יוצרים",http://he.wikipedia.org/wiki/%D7%90%D7%A1%D7%9E%D7%90_%D7%96%D7%97%D7%90%D7%9C%D7%A7%D7%94_%D7%90%D7%92%D7%91%D7%90%D7%A8%D7%99%D7%99%D7%94,http://www.youtube.com/watch?v=cmlEwb_0640,,http://www.facebook.com/DaamParty,http://heb.daam.org.il/%D7%9E%D7%A6%D7%A2-%D7%93%D7%A2%D7%9D/,http://www.daam.org.il/,http://upload.wikimedia.org/wikipedia/he/thumb/5/59/Asmaagbariyazachalka_72.jpg/200px-Asmaagbariyazachalka_72.jpg,,1,אגבארייה זחאלקה אסמא,ק,דעם - מפלגת פועלים
,,,,,,,,,2,נאדר ניר,,דעם - מפלגת פועלים
,,,,,,,,,3,בן שמחון דני,,דעם - מפלגת פועלים
,,,,,,,,,4,טיארה ופא,,דעם - מפלגת פועלים
,,,,,,,,,5,פלדהיים אורלי,,דעם - מפלגת פועלים
,,,,,,,,,6,זועבי חנאן,,דעם - מפלגת פועלים
,,,,,,,,,7,עקאד אורנה,,דעם - מפלגת פועלים
,,,,,,,,,8,הלוי להב,,דעם - מפלגת פועלים
,,,,,,,,,9,לבארי נעמי,,דעם - מפלגת פועלים
,,,,,,,,,10,קעואר מוניר,,דעם - מפלגת פועלים
,,,,,,,,,11,איצקוביץ גסטון צבי,,דעם - מפלגת פועלים
,,,,,,,,,12,שורר דן,,דעם - מפלגת פועלים
,,,,,,,,,13,טחאן ראניה,,דעם - מפלגת פועלים
,,,,,,,,,14,בריל ערן,,דעם - מפלגת פועלים
,,,,,,,,,15,מישורי אפרת,,דעם - מפלגת פועלים
,,,,,,,,,16,בראל נוית,,דעם - מפלגת פועלים
,,,,,,,,,17,טל פנינה,,דעם - מפלגת פועלים
,,,,,,,,,18,מגנס אליזבט,,דעם - מפלגת פועלים
,,,,,,,,,19,הוס רבקה,,דעם - מפלגת פועלים
,,,,,,,,,20,טיר צביה,,דעם - מפלגת פועלים
,,,,,,,,,21,ענבל שושנה,,דעם - מפלגת פועלים
,,,,,,,,,22,בלאו בנימין,,דעם - מפלגת פועלים
,,,,,,,,,23,אלוני גיא,,דעם - מפלגת פועלים
,,,,,,,,,24,להב תומר,,דעם - מפלגת פועלים
,,,,,,,,,25,פרידמן מיכל,,דעם - מפלגת פועלים
,,,,,,,,,26,הראל מיקי,,דעם - מפלגת פועלים
,,,,,,,,,27,סודרי אורית,,דעם - מפלגת פועלים
,,,,,,,,,28,וגנר ארז,,דעם - מפלגת פועלים
,,,,,,,,,29,קלגסברון טלי,,דעם - מפלגת פועלים
,,,,,,,,,30,לביא תומר,,דעם - מפלגת פועלים
,,,,,,,,,31,פאהום אחמד,,דעם - מפלגת פועלים
,,,,,,,,,32,בלומנטל אפרת,,דעם - מפלגת פועלים
,,,,,,,,,33,כהן בכור טל,,דעם - מפלגת פועלים
,,,,,,,,,34,רוזן נחמני דניאל אברהם,,דעם - מפלגת פועלים
,,,,,,,,,35,להב אדיב הדס,,דעם - מפלגת פועלים
,,,,,,,,,36,כיתאני סמיר,,דעם - מפלגת פועלים
,,,,,,,,,37,לנגפור סטפן,,דעם - מפלגת פועלים
,,,,,,,,,38,פרמינגר יונתן,,דעם - מפלגת פועלים
,,,,,,,,,39,קדושים כוכבית,,דעם - מפלגת פועלים
,,,,,,,,,40,טמיר יואב,,דעם - מפלגת פועלים
,,,,,,,,,41,מהל עידו,,דעם - מפלגת פועלים
,,,,,,,,,42,פרידמן ציפורה פניה,,דעם - מפלגת פועלים
,,,,,,,,,43,חנוכה שאול,,דעם - מפלגת פועלים
,,,,,,,,,44,בן אפרת יעקב יוסף,,דעם - מפלגת פועלים
,http://he.wikipedia.org/wiki/%D7%96%D7%94%D7%91%D7%94_%D7%92%D7%9C%D7%90%D7%95%D7%9F,http://www.youtube.com/user/meretzvideos,,http://www.facebook.com/DaamParty,http://meretz.org.il/%D7%9E%D7%A6%D7%A2-%D7%94%D7%9E%D7%A4%D7%9C%D7%92%D7%94/,http://meretz.org.il/,http://www.knesset.gov.il/mk/images/members/galon_zahava-s.jpg,201,1,גלאון זהבה,מרצ,מרצ - השמאל של ישראל
,http://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9C%D7%9F_%D7%92%D7%99%D7%9C_%D7%90%D7%95%D7%9F,,,,,,,200,2,גיל און אילן,,מרצ - השמאל של ישראל
